工作細項清單,時間區間,隸屬單元
蒐集資料與企劃,2022/03/04 → 2022/03/13,
單一天文科普-設計圖,2022/03/13 → 2022/03/14,https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179
天文科普-設計圖,2022/03/13 → 2022/03/14,https://www.notion.so/d0d82122111142329994e9f9af66e800
關於我們-設計圖,2022/03/13,https://www.notion.so/8ce1260d672b40c88e61ef9fab5d0b61
首頁-設計圖,2022/03/13,https://www.notion.so/a22e407c027949f6971e60595dfae3aa
星星物語-設計圖,2022/03/14 → 2022/03/15,https://www.notion.so/6a36479c548e4974b6558d0173c34b91
天文設施-設計圖,2022/03/16,https://www.notion.so/b661b9fa1c27405faec5db252d789526
單一星星物語-設計圖,2022/03/16,https://www.notion.so/3b32c9f93a6c43bd9d8c1abc2b5fc2ad
彙整頁-設計圖,2022/03/17,https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f
觀星地點-設計圖,2022/03/17,https://www.notion.so/1928ffc7782444d1a79145a2b66a318d
單一觀星地點-設計圖,2022/03/17,https://www.notion.so/20435a05ed5c42c3969eba0c33616e28
前端開發環境設置,2022/03/18 → 2022/03/22,
選單-設計圖,2022/03/18 → 2022/03/19,https://www.notion.so/568e5a591f664bf09f4cc98439a66e71
搜尋頁-設計圖,2022/03/18,https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462
404-設計圖,2022/03/18,https://www.notion.so/404-f406152fb1544df08d98999eeccb4210
首頁-切板-調RWD,2022/03/20 → 2022/03/22,https://www.notion.so/a22e407c027949f6971e60595dfae3aa
選單-切板-調RWD,2022/03/23,https://www.notion.so/568e5a591f664bf09f4cc98439a66e71
關於我們-切板-調RWD,2022/03/23 → 2022/03/24,https://www.notion.so/8ce1260d672b40c88e61ef9fab5d0b61
搜尋頁-切板-調RWD,2022/03/24 → 2022/03/25,https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462
彙整頁-切板-調RWD,2022/03/24 → 2022/03/25,https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f
單一天文科普-切板-調RWD,2022/03/24 → 2022/03/25,https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179
天文科普-切板-調RWD,2022/03/24 → 2022/03/25,https://www.notion.so/d0d82122111142329994e9f9af66e800
404-切板-調RWD,2022/03/25,https://www.notion.so/404-f406152fb1544df08d98999eeccb4210
單一星星物語-切板-調RWD,2022/03/26,https://www.notion.so/3b32c9f93a6c43bd9d8c1abc2b5fc2ad
星星物語-切板-調RWD,2022/03/26 → 2022/03/28,https://www.notion.so/6a36479c548e4974b6558d0173c34b91
觀星地點-切板-調RWD,2022/03/27 → 2022/03/29,https://www.notion.so/1928ffc7782444d1a79145a2b66a318d
天文設施-切板-調RWD,2022/03/27,https://www.notion.so/b661b9fa1c27405faec5db252d789526
單一觀星地點-切板-調RWD,2022/03/27 → 2022/03/29,https://www.notion.so/20435a05ed5c42c3969eba0c33616e28
RWD+動畫+微調,2022/03/30 → 2022/04/03,
後端開發環境設置,2022/04/03 → 2022/04/08,
選單-API串接,2022/04/09,https://www.notion.so/568e5a591f664bf09f4cc98439a66e71
單一天文科普-API串接,2022/04/09,https://www.notion.so/2d7ed1f1ab27488db96c0a4cfb412179
關於我們-API串接,2022/04/09,https://www.notion.so/8ce1260d672b40c88e61ef9fab5d0b61
天文科普-API串接,2022/04/09,https://www.notion.so/d0d82122111142329994e9f9af66e800
首頁-API串接,2022/04/09,https://www.notion.so/a22e407c027949f6971e60595dfae3aa
搜尋頁-API串接,2022/04/10,https://www.notion.so/517ab5e3c00d43c28fd55458ffa55462
404-API串接,2022/04/10,https://www.notion.so/404-f406152fb1544df08d98999eeccb4210
彙整頁-API串接,2022/04/10,https://www.notion.so/ed745ad85b5b4dbabb3280a45f9aac1f
單一星星物語-API串接,2022/04/10,https://www.notion.so/3b32c9f93a6c43bd9d8c1abc2b5fc2ad
星星物語-API串接,2022/04/10,https://www.notion.so/6a36479c548e4974b6558d0173c34b91
單一觀星地點-API串接,2022/04/11,https://www.notion.so/20435a05ed5c42c3969eba0c33616e28
觀星地點-API串接,2022/04/11,https://www.notion.so/1928ffc7782444d1a79145a2b66a318d
天文設施-API串接,2022/04/11,https://www.notion.so/b661b9fa1c27405faec5db252d789526