版型名稱,頁面屬性,頁數,路由,設計稿,切板,RWD 調校,API 規劃與串接,各細項時間,Related to 後台進度甘特圖 (隸屬前台單元),Date
首頁,小首頁,1,/home,Yes,Yes,Yes,Yes,"https://www.notion.so/3e78cd79a4c749e0b1bc858ac984f08b, https://www.notion.so/RWD-7e21c5366bad4e148e4dc9ae05752e95, https://www.notion.so/API-e47883f8b9354afe8c7f42bffea16fce","https://www.notion.so/ce1fb675f01b4a1c9a85eb0d29ec0270, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
關於我們,靜態資訊,1,/about,Yes,Yes,Yes,Yes,"https://www.notion.so/35d16d54ca354d9ebb464fb4ba640c31, https://www.notion.so/RWD-5fb611f338a94a11a4dd7df08166f4a7, https://www.notion.so/API-010bfc9e470644b4806ab74cb413ec07","https://www.notion.so/ce1fb675f01b4a1c9a85eb0d29ec0270, https://www.notion.so/f0035e0c4c3348edafbf8460208e9690, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
天文科普,小首頁,1,/science,Yes,Yes,Yes,Yes,"https://www.notion.so/826f6fef98224441b3089be34604d9d2, https://www.notion.so/RWD-a4a55be5349d418499a5b703f00d4b28, https://www.notion.so/API-3c890e80cdd642a590897c08fafed630","https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4, https://www.notion.so/27d8d5e2b3a64d33bbfc1ff2cd18be87, https://www.notion.so/abcf7e6cac6a4e2b92860304c29ba8aa, https://www.notion.so/4127aa4ae9594adfa7bf7a467d212a6f, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467, https://www.notion.so/f7eb0ad60ffc41848517da80a0502965",
單一天文科普,單一文章,74,/science/{pid},Yes,Yes,Yes,Yes,"https://www.notion.so/38930067773c4ba78bc804aad997d7e9, https://www.notion.so/RWD-7013d27423624951bec3f4042e0581a8, https://www.notion.so/API-cc1bd1ccc22a4c6984c81513008ff007","https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/c8dc5b937bba4263be8328f2d3d982e1, https://www.notion.so/1399b0cf4b6545a48579046846ed4444, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4, https://www.notion.so/27d8d5e2b3a64d33bbfc1ff2cd18be87, https://www.notion.so/abcf7e6cac6a4e2b92860304c29ba8aa, https://www.notion.so/4127aa4ae9594adfa7bf7a467d212a6f, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467",
星星物語,小首頁,1,/story,Yes,Yes,Yes,Yes,"https://www.notion.so/ab1a85f754fc40318ae7e41ee1ebf414, https://www.notion.so/RWD-ff2c49d435124c96b1db88606c67c783, https://www.notion.so/API-c30e5962f75a4b348fdf4d49e2be6c53","https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
單一星星物語,單一文章,17,/story/{sid},Yes,Yes,Yes,Yes,"https://www.notion.so/9019c1e032ea412b9fa2747e9236225e, https://www.notion.so/RWD-be5ea24889454e2c8fa21a3f71a3d886, https://www.notion.so/API-0a50dde4983d4da4b78a376fc3e7f928","https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/c8dc5b937bba4263be8328f2d3d982e1, https://www.notion.so/1399b0cf4b6545a48579046846ed4444, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
天文設施,小首頁,1,/facilities,Yes,Yes,Yes,Yes,"https://www.notion.so/222a6f06f8d44be2904652bddc4acbc8, https://www.notion.so/RWD-3d22dbe0b9c342149ee65d4e65d663e3, https://www.notion.so/API-f594336485cf49b0ab0e5f2d9d3c9866","https://www.notion.so/60eb818ebbb740da9fe824113011d8f2, https://www.notion.so/2151c8162ba042f2996030afae6d346f, https://www.notion.so/ef62d5f6d3164bedb07f720a88236caa, https://www.notion.so/7a16f72f0dc94620b0a0a8dd6f547e1e, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4, https://www.notion.so/175c4ceebf95461eaa4cbac4f084eb82, https://www.notion.so/3e988fb837394c99ad09e23de9682b90, https://www.notion.so/30d8c13d976149c0a8d02ebb1ba303d1, https://www.notion.so/96b95e05ecd04b528bd11fa615817822, https://www.notion.so/036c11201cb847638c669830275a8cab",
觀星地點,小首頁,1,/stargazing,Yes,Yes,Yes,Yes,"https://www.notion.so/8c2c126d672849048ff1175a3369ea3c, https://www.notion.so/RWD-236e813ac1974adea585d1ee90539f8a, https://www.notion.so/API-ca454af7896142488cb4034311582425","https://www.notion.so/fd495ee17f324e48a08f0d13a903c5d6, https://www.notion.so/38be8994ecf146bd97d1523f4d0d0922, https://www.notion.so/f3ce91321f0d43e88ef1e577fdfcdc18, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
單一觀星地點,,1,/stargazing,Yes,Yes,Yes,Yes,"https://www.notion.so/d24a53fec1c74ae1bc87a4fa203eb039, https://www.notion.so/RWD-4758d71bf4d14dcf92abf5121760a9c3, https://www.notion.so/API-894d4be292ae4f079a5fd39e6fe8795f","https://www.notion.so/fd495ee17f324e48a08f0d13a903c5d6, https://www.notion.so/0709988eeef14dc4b0ec41d0bcf694bd, https://www.notion.so/ff72186bae50480ebfb98c952243460e, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4",
彙整頁,列表頁,1,/archive/{tagid},Yes,Yes,Yes,Yes,"https://www.notion.so/5a02afb8e9b44a079cd9cec8cfc9fb28, https://www.notion.so/RWD-3a2be81b2dd84a518bc197c72c9d140d, https://www.notion.so/API-50f58b5bff954e9a966a234f7edb4aea","https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4, https://www.notion.so/27d8d5e2b3a64d33bbfc1ff2cd18be87, https://www.notion.so/abcf7e6cac6a4e2b92860304c29ba8aa, https://www.notion.so/4127aa4ae9594adfa7bf7a467d212a6f, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467",
搜尋頁,列表頁,1,/search?keyword={word},Yes,Yes,Yes,Yes,"https://www.notion.so/a07a5875605e43e8ad2e0e798c496e7b, https://www.notion.so/RWD-26c186475c2f4aa2b457be499250517a, https://www.notion.so/API-0579f455452145679d82d67f07afa514","https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467",
404,靜態資訊,1,/*,Yes,Yes,Yes,No,"https://www.notion.so/404-de6fc45252c349a897d68811c49884c1, https://www.notion.so/404-RWD-8a854066d3a544158e5fec2e4db983f5, https://www.notion.so/404-API-50969fb9509d444fa40f6f17a8a2ec98",https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4,
選單,,1,,Yes,Yes,Yes,No,"https://www.notion.so/0acb476c9e5e4c62af17ce33ce9f85d5, https://www.notion.so/RWD-44b93b0c7c324f25a445d1e532219239, https://www.notion.so/API-32a6a9ab17114aa9bb4f5b5b540a2c41",https://www.notion.so/3cb6e40ee6dc4225af98f67803e400b4,