版型名稱,頁面屬性,頁數,路由,設計稿,操作流程圖,切板,API 規劃,各細項時間
登入,客製,1,/login,Yes,Yes,Yes,Yes,"https://www.notion.so/d629e5999bfb4a3093e0d7c412fc03fe, https://www.notion.so/2e90900895ab4cc68b0f617d34bbc860, https://www.notion.so/657878f5327047c59417ad32039c6467, https://www.notion.so/API-ab924fe08a9241ddb353a92158fca236, https://www.notion.so/f1c8db1f2f5149e4a01fa2c9fa5cfba0"
後台首頁,客製,1,/board,Yes,Yes,Yes,Yes,"https://www.notion.so/a19e9578846945e1ae9e2791f773dcee, https://www.notion.so/24cb1e9318914e438980c3a0d197a073, https://www.notion.so/API-1dea06bc0a344a728040f8b8d96bbb0e"
標語管理,客製,1,/board/slogan,Yes,Yes,Yes,Yes,"https://www.notion.so/ce1fb675f01b4a1c9a85eb0d29ec0270, https://www.notion.so/769734785c374ed3bcc50d5ba3b185cc, https://www.notion.so/79fece6250c242ccb5396ace8b6b2d2d, https://www.notion.so/API-a1c25b92927e48009d17a3fe48dad58b, https://www.notion.so/f0035e0c4c3348edafbf8460208e9690"
分類管理,列表頁,1,/board/categories,Yes,Yes,Yes,Yes,"https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/50da2b00de604d50837e7c0eb75850a5, https://www.notion.so/9f1df1a050a348f9b88cb621952358c6, https://www.notion.so/API-6e74c6f0ab634432b49e0917cbb4c769, https://www.notion.so/27d8d5e2b3a64d33bbfc1ff2cd18be87, https://www.notion.so/abcf7e6cac6a4e2b92860304c29ba8aa, https://www.notion.so/4127aa4ae9594adfa7bf7a467d212a6f"
單一分類編輯,客製,1,/board/categories/edit/{cid},Yes,Yes,Yes,Yes,"https://www.notion.so/0c4e6a02414e461cb063a7895c69e9c8, https://www.notion.so/b451f06c6aa047b09ef2b51f240207cc, https://www.notion.so/be7a29143be5454aac3e7964f8f403ea, https://www.notion.so/API-a2d8c94a5ab54b258d6b87119d002ba6, https://www.notion.so/abcf7e6cac6a4e2b92860304c29ba8aa, https://www.notion.so/4127aa4ae9594adfa7bf7a467d212a6f"
單一分類新增,客製,1,/board/categories/add,Yes,Yes,Yes,Yes,"https://www.notion.so/7f066067beab4b60b349ddf51a094bca, https://www.notion.so/7f1f4c0250ab408681f029c749c51edc, https://www.notion.so/246f6de5ed464e01a4c3f82c4f06f7a4, https://www.notion.so/API-54ef92ffb384476b85301dad9f6a1463, https://www.notion.so/27d8d5e2b3a64d33bbfc1ff2cd18be87"
文章列表,列表頁,1,/board/article,Yes,Yes,Yes,Yes,"https://www.notion.so/1399b0cf4b6545a48579046846ed4444, https://www.notion.so/c8dc5b937bba4263be8328f2d3d982e1, https://www.notion.so/fea166883af945c5902dc4d50d45ada1, https://www.notion.so/d2998427e08c48e781f26e5d4a06bd98, https://www.notion.so/API-6942725f44f2480b86aab5430a6906b8, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467"
單一文章編輯,客製,1,/board/article/edit/{pid},Yes,Yes,Yes,Yes,"https://www.notion.so/1399b0cf4b6545a48579046846ed4444, https://www.notion.so/042cdc44bde044c0a58961da471a7afe, https://www.notion.so/203312dafbd445f1b3f5032b1659bc3a, https://www.notion.so/API-c62bef908f1b47d9bced019e5fe95c28, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/fee12c3402c74a0188f78d9df5d9328f, https://www.notion.so/a8607957e64d4ccf81ee2a0ca1ad3467"
單一文章新增,客製,1,/board/article/add,Yes,Yes,Yes,Yes,"https://www.notion.so/c8dc5b937bba4263be8328f2d3d982e1, https://www.notion.so/034c7c45fa174f3b8e653946b5aa71d6, https://www.notion.so/cc3a7fe79fc84202abc049733f51410a, https://www.notion.so/API-909b28a396f640e3af946e4f5d312c1b, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/3c2009ecd7a84deba0a2b6ab5d7b2c20"
機構管理,列表頁,1,/board/organization,Yes,Yes,Yes,Yes,"https://www.notion.so/60eb818ebbb740da9fe824113011d8f2, https://www.notion.so/2151c8162ba042f2996030afae6d346f, https://www.notion.so/c84ebabf1edd480698d8af343a06bd21, https://www.notion.so/f8affb1a3f2e4dbe9832dd26c2140886, https://www.notion.so/API-1924cea74d534424aae893c6ebb32f90, https://www.notion.so/175c4ceebf95461eaa4cbac4f084eb82, https://www.notion.so/3e988fb837394c99ad09e23de9682b90, https://www.notion.so/30d8c13d976149c0a8d02ebb1ba303d1"
單一機構編輯,客製,1,/board/organization/edit/{oid},Yes,Yes,Yes,Yes,"https://www.notion.so/60eb818ebbb740da9fe824113011d8f2, https://www.notion.so/0019b2535dc24dc69713c013453b8252, https://www.notion.so/33f556f4a05748fca367ca4d5433f1d4, https://www.notion.so/API-4cd302f5d751480886133cb3c1c5980c, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/3e988fb837394c99ad09e23de9682b90, https://www.notion.so/30d8c13d976149c0a8d02ebb1ba303d1"
單一機構新增,客製,1,/board/organization/add,Yes,Yes,Yes,Yes,"https://www.notion.so/2151c8162ba042f2996030afae6d346f, https://www.notion.so/7e92cdf8030c4bf5a8fb78feb53c13f8, https://www.notion.so/a8ff12d6455a462181a9045abb0bb989, https://www.notion.so/API-6ca033bec5374eaf9e67d7b17cee6882, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/175c4ceebf95461eaa4cbac4f084eb82"
天文台管理,列表頁,1,/board/observatories,Yes,Yes,Yes,Yes,"https://www.notion.so/ef62d5f6d3164bedb07f720a88236caa, https://www.notion.so/7a16f72f0dc94620b0a0a8dd6f547e1e, https://www.notion.so/2ed929eb32b3466cb295b18a06ba9cfb, https://www.notion.so/7b15e05bcee3481b9bab71b4aef816f1, https://www.notion.so/API-048fde3a225b4af485b9312dd18970f5, https://www.notion.so/f7eb0ad60ffc41848517da80a0502965, https://www.notion.so/96b95e05ecd04b528bd11fa615817822, https://www.notion.so/036c11201cb847638c669830275a8cab"
單一天文台編輯,客製,1,/board/observatories/edit/{mid},Yes,Yes,Yes,Yes,"https://www.notion.so/ef62d5f6d3164bedb07f720a88236caa, https://www.notion.so/c152d69c3c5e4744b1a86c509611ea3e, https://www.notion.so/5ce68399cf774bf5976940b2fefbf9af, https://www.notion.so/API-0b52bcde60f34e44826a439a3666777e, https://www.notion.so/96b95e05ecd04b528bd11fa615817822, https://www.notion.so/036c11201cb847638c669830275a8cab"
單一天文台新增,客製,1,/board/observatories/add,Yes,Yes,Yes,Yes,"https://www.notion.so/7a16f72f0dc94620b0a0a8dd6f547e1e, https://www.notion.so/ccf248ad1b44429cacda8735d5135e6f, https://www.notion.so/c2852bc347424a829a50d7dcb0f8051c, https://www.notion.so/API-b7fb1afe7fd84098a6a2499b8db8221f, https://www.notion.so/f7eb0ad60ffc41848517da80a0502965"
觀星管理,列表頁,1,/board/stargazer,Yes,Yes,Yes,Yes,"https://www.notion.so/fd495ee17f324e48a08f0d13a903c5d6, https://www.notion.so/38be8994ecf146bd97d1523f4d0d0922, https://www.notion.so/2fc3dc94f8d349a99a48084a40f11346, https://www.notion.so/8c8af398999f47bf93f4530dfdeba69a, https://www.notion.so/API-dd47f0a7112b422b86df8385f2107c62, https://www.notion.so/f3ce91321f0d43e88ef1e577fdfcdc18"
單一觀星編輯,客製,1,/board/stargazer/edit/{lid},Yes,Yes,Yes,Yes,"https://www.notion.so/fd495ee17f324e48a08f0d13a903c5d6, https://www.notion.so/49d80a57a568433496ea36d0d75b8a11, https://www.notion.so/db6cd9119cb84d498214cc169441b67a, https://www.notion.so/API-54e0370fb1bd49da842331ad588db726, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/ff72186bae50480ebfb98c952243460e, https://www.notion.so/f3ce91321f0d43e88ef1e577fdfcdc18"
單一觀星新增,客製,1,/board/stargazer/add/,Yes,Yes,Yes,Yes,"https://www.notion.so/38be8994ecf146bd97d1523f4d0d0922, https://www.notion.so/c913caab371d4ff9877be71fbcf35478, https://www.notion.so/0ec6b0515da842e6bdd94801bbcbee09, https://www.notion.so/API-276ea3c53d9e4bfd824bd0501dc0fb37, https://www.notion.so/AWS-S3-b74eb4188e244c04bd3f79050eec4f93, https://www.notion.so/0709988eeef14dc4b0ec41d0bcf694bd"